Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL_8W_EP16_87	NCBI:4577	Zea	mays	sample collection	pot_118	plant	[plant]118
RIL_8W_EP16_91	NCBI:4577	Zea	mays	sample collection	pot_119	plant	[plant]119
RIL_8W_EP16_96	NCBI:4577	Zea	mays	sample collection	pot_121	plant	[plant]121
RIL_8W_EP17_35	NCBI:4577	Zea	mays	sample collection	pot_123	plant	[plant]123
RIL_8W_EP17_36	NCBI:4577	Zea	mays	sample collection	pot_124	plant	[plant]124
RIL_8W_EP17_41	NCBI:4577	Zea	mays	sample collection	pot_125	plant	[plant]125
RIL_8W_EP17_43	NCBI:4577	Zea	mays	sample collection	pot_126	plant	[plant]126
RIL_8W_EP17_44	NCBI:4577	Zea	mays	sample collection	pot_127	plant	[plant]127
RIL_8W_EP17_51	NCBI:4577	Zea	mays	sample collection	pot_128	plant	[plant]128
RIL_8W_EP17_54	NCBI:4577	Zea	mays	sample collection	pot_129	plant	[plant]129
RIL_8W_EP17_56	NCBI:4577	Zea	mays	sample collection	pot_130	plant	[plant]130
RIL_8W_EP17_59	NCBI:4577	Zea	mays	sample collection	pot_131	plant	[plant]131
RIL_8W_EP17_60	NCBI:4577	Zea	mays	sample collection	pot_133	plant	[plant]133
RIL_8W_EP17_62	NCBI:4577	Zea	mays	sample collection	pot_134	plant	[plant]134
RIL_8W_EP17_65	NCBI:4577	Zea	mays	sample collection	pot_135	plant	[plant]135
RIL_8W_EP17_7	NCBI:4577	Zea	mays	sample collection	pot_136	plant	[plant]136
RIL_8W_EP18_10	NCBI:4577	Zea	mays	sample collection	pot_137	plant	[plant]137
RIL_8W_EP18_2	NCBI:4577	Zea	mays	sample collection	pot_138	plant	[plant]138
RIL_8W_EP18_22	NCBI:4577	Zea	mays	sample collection	pot_139	plant	[plant]139
RIL_8W_EP18_24	NCBI:4577	Zea	mays	sample collection	pot_140	plant	[plant]140
RIL_8W_EP18_31	NCBI:4577	Zea	mays	sample collection	pot_144	plant	[plant]144
RIL_8W_EP18_33	NCBI:4577	Zea	mays	sample collection	pot_145	plant	[plant]145
RIL_8W_EP18_36	NCBI:4577	Zea	mays	sample collection	pot_146	plant	[plant]146
RIL_8W_EP18_4	NCBI:4577	Zea	mays	sample collection	pot_147	plant	[plant]147
RIL_8W_EP18_57	NCBI:4577	Zea	mays	sample collection	pot_148	plant	[plant]148
RIL_8W_EP18_60	NCBI:4577	Zea	mays	sample collection	pot_149	plant	[plant]149
RIL_8W_EP18_61	NCBI:4577	Zea	mays	sample collection	pot_150	plant	[plant]150
RIL_8W_EP18_9	NCBI:4577	Zea	mays	sample collection	pot_152	plant	[plant]152
RIL_8W_EP19_1	NCBI:4577	Zea	mays	sample collection	pot_153	plant	[plant]153
RIL_8W_EP19_14	NCBI:4577	Zea	mays	sample collection	pot_154	plant	[plant]154
RIL_8W_EP19_15	NCBI:4577	Zea	mays	sample collection	pot_155	plant	[plant]155
RIL_8W_EP19_18	NCBI:4577	Zea	mays	sample collection	pot_156	plant	[plant]156
RIL_8W_EP19_19	NCBI:4577	Zea	mays	sample collection	pot_157	plant	[plant]157
RIL_8W_EP19_2	NCBI:4577	Zea	mays	sample collection	pot_158	plant	[plant]158
RIL_8W_EP19_23	NCBI:4577	Zea	mays	sample collection	pot_159	plant	[plant]159
RIL_8W_EP19_29	NCBI:4577	Zea	mays	sample collection	pot_160	plant	[plant]160
RIL_8W_EP19_30	NCBI:4577	Zea	mays	sample collection	pot_161	plant	[plant]161
RIL_8W_EP19_36	NCBI:4577	Zea	mays	sample collection	pot_163	plant	[plant]163
RIL_8W_EP19_37	NCBI:4577	Zea	mays	sample collection	pot_164	plant	[plant]164
RIL_8W_EP19_38	NCBI:4577	Zea	mays	sample collection	pot_165	plant	[plant]165
RIL_8W_EP19_40	NCBI:4577	Zea	mays	sample collection	pot_166	plant	[plant]166
