observationLevels[BLOCK]	observationLevels[BLOCK>PLOT>PLANT]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	NB_SHOOT_II_PLANT	NB_NCP_PLANT	NB_INFLO_NCP_PLANT	NB_SHOOTS_SPURS_PLANT	NB_SHOOT_ALL_M2	NB_INFLO_II_PLANT	FERT_SHOOT_II	NB_INFLO_SPURS_PLANT	FERT_SPURS	NB_SHOOT_I_PLANT	HS_Tmax_B02_15FB	BUD_DATE	FERT_PRIM	FERT_NCP	DOY_BUD	FERT_SHOOT_I	NB_SHOOT_ALL_PLANT	FERT_GLOB	NB_SHOOT_I_M2	NB_INFLO_ALL_PLANT	NB_INFLO_I_PLANT
1	26635.13	26635	2992462-2008	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2008	NA															117.517408123793						
1	26635.13	26635	2992462-2008	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2008	NA											671.2										
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA												2009-04-14									
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA															104.637096774197						
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA											539.6										
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA										15											
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA				2																	
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA	5																				
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA		2																			
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																					28
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA								4													
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA						4															
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA			0																		
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																				36	
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																1.8666667					
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																	24				
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA									2												
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA							0.8														
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA														0							
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																		1.5			
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA													2.4								
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA																			7.2727275		
1	26635.13	26635	2992462-2009	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2009	NA					11.636364																
1	26780.2	26780	2992651-2006	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2006	NA												2006-04-25									
1	26780.2	26780	2992651-2006	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2006	NA															115.873479318732						
1	26780.2	26780	2992651-2006	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2006	NA											593.8										
1	26780.2	26780	2992651-2007	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2007	NA												2007-04-11									
1	26780.2	26780	2992651-2007	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2007	NA															101						
1	26780.2	26780	2992651-2007	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2007	NA											572.3										
1	26780.2	26780	2992651-2008	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2008	NA												2008-04-26									
