observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Circum1	Height1	REP	Shoots3	Circum2	Syllep1	Height2
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-12-01T01:00:00Z			6				
2889576-2005	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2005	2005-05-01T02:00:00Z				9.4310410000000005			
2889576-2005	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2005	2005-05-01T02:00:00Z			6				
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-01-01T01:00:00Z	65.569999999999993						
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-12-01T01:00:00Z					154.61000000000001		
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-01-01T01:00:00Z		288.60000000000002					
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-12-01T01:00:00Z							794
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-01-01T01:00:00Z						29.36	
2889723-2004	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2004	2004-12-01T01:00:00Z			6				
2889723-2005	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2005	2005-05-01T02:00:00Z				14.273284			
2889723-2005	gnpis.lot:'661300578'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZESkRUQg==	661300578	661300578	2005	2005-05-01T02:00:00Z			6				
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-01-01T01:00:00Z	50.4						
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-12-01T01:00:00Z					131.94999999999999		
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-01-01T01:00:00Z		227.6					
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-12-01T01:00:00Z							710.7
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-01-01T01:00:00Z						28.19	
2889433-2004	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2004	2004-12-01T01:00:00Z			6				
2889433-2005	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2005	2005-05-01T02:00:00Z				9.8470439999999986			
2889433-2005	gnpis.lot:'661300258'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05HVFE0Mg==	661300258	661300258	2005	2005-05-01T02:00:00Z			6				
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-01-01T01:00:00Z	63.74						
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-12-01T01:00:00Z					166.28		
