observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	sept	rdt
2	2833495-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA	3,8	
1	2833488-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA		41,34
1	2833488-2008	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2008	NA	4,5	
1	2833492-2008	gnpis.lot:'EM07219'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxOQ==	EM07219	EM07219	2008	NA		49,31
1	2833492-2008	gnpis.lot:'EM07219'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxOQ==	EM07219	EM07219	2008	NA	4	
1	2833518-2008	gnpis.lot:'RE07038'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzOA==	RE07038	RE07038	2008	NA		45,18
1	2833518-2008	gnpis.lot:'RE07038'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzOA==	RE07038	RE07038	2008	NA	3,5	
1	2833510-2008	gnpis.lot:'CF07143'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05aT0RaWQ==	CF07143	36770	2008	NA		60,99
1	2833510-2008	gnpis.lot:'CF07143'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05aT0RaWQ==	CF07143	36770	2008	NA	2,5	
1	2833508-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA		42,2
1	2833508-2008	gnpis.lot:'RE07027'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyNw==	RE07027	RE07027	2008	NA	3,5	
2	2833463-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA		42,01
2	2833463-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA	6,2	
1	2833526-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA		46,89
1	2833526-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA	3	
2	2833503-2008	gnpis.lot:'RE07028'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyOA==	RE07028	RE07028	2008	NA		34,49
2	2833503-2008	gnpis.lot:'RE07028'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyOA==	RE07028	RE07028	2008	NA	7,5	
1	2833462-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA		44,99
1	2833462-2008	gnpis.lot:'DI08012'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMg==	DI08012	DI08012	2008	NA	4,5	
2	2833467-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA		32,99
2	2833467-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA	4,8	
2	2833471-2008	gnpis.lot:'AO08337'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODMzNw==	AO08337	AO08337	2008	NA		32,8
2	2833471-2008	gnpis.lot:'AO08337'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODMzNw==	AO08337	AO08337	2008	NA	6,5	
2	2833525-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA		41,63
2	2833525-2008	gnpis.lot:'RE07083'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1JURFVKVg==	RE07083	36816	2008	NA	5,8	
1	2833470-2008	gnpis.lot:'AO08337'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODMzNw==	AO08337	AO08337	2008	NA		34,97
1	2833470-2008	gnpis.lot:'AO08337'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODMzNw==	AO08337	AO08337	2008	NA	4	
2	2833493-2008	gnpis.lot:'EM07219'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxOQ==	EM07219	EM07219	2008	NA		44,48
2	2833493-2008	gnpis.lot:'EM07219'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxOQ==	EM07219	EM07219	2008	NA	4,2	
1	2833478-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA		38,18
1	2833478-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA	3,5	
1	2833502-2008	gnpis.lot:'RE07028'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyOA==	RE07028	RE07028	2008	NA		31,76
1	2833502-2008	gnpis.lot:'RE07028'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAyOA==	RE07028	RE07028	2008	NA	5,5	
2	2833479-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA		41,72
2	2833479-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA	5	
