observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA						67,6
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA					5,8	
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA			95,8			
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA				38,2		
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA	90					
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA		142				
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA						68,5
2833556-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA					4,8	
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA			114,8			
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA				45,8		
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA	90					
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA		140				
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA						73,2
2833564-2008	gnpis.lot:'CF07080'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzA4MA==	CF07080	CF07080	2008	NA					4,2	
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA			90,9			
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA				36,2		
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA	78					
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA		142				
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA						63,2
2833538-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA					5,8	
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA			100,2			
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA				40		
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA	90					
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA		138				
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA						70,4
2833543-2008	gnpis.lot:'RE07036'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzAzNg==	RE07036	RE07036	2008	NA					5	
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA			119,2			
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA				47,5		
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA	96					
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA		134				
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA						73
2833567-2008	gnpis.lot:'RE07082'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Mg==	RE07082	RE07082	2008	NA					4	
