observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791680-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA		98,5	
2791680-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA			94,5
2791680-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA	13		
2791667-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA		108	
2791667-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA			75,4
2791667-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA			
2791663-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA		106,5	
2791663-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA			74,3
2791663-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA			
2791672-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA		104,4	
2791672-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA			100,1
2791672-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA	12,6		
2791703-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA		98,1	
2791703-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA			68,5
2791703-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA			
2791738-2003	gnpis.lot:'EM02164'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE2NA==	EM02164	EM02164	2003	NA		99,8	
2791738-2003	gnpis.lot:'EM02164'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE2NA==	EM02164	EM02164	2003	NA			95,7
2791738-2003	gnpis.lot:'EM02164'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE2NA==	EM02164	EM02164	2003	NA	12,6		
2791732-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA		108,8	
2791732-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA			104,3
2791732-2003	gnpis.lot:'CF01185'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xDQVhQMw==	CF01185	24600	2003	NA	11,1		
2791686-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA		97	
2791686-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA			93
2791686-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA	12,6		
2791665-2003	gnpis.lot:'CF02040'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjA0MA==	CF02040	CF02040	2003	NA		109,4	
2791665-2003	gnpis.lot:'CF02040'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjA0MA==	CF02040	CF02040	2003	NA			76,3
2791665-2003	gnpis.lot:'CF02040'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjA0MA==	CF02040	CF02040	2003	NA			
2791675-2003	gnpis.lot:'RE02080'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FNM0dBTg==	RE02080	23822	2003	NA		109,8	
2791675-2003	gnpis.lot:'RE02080'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FNM0dBTg==	RE02080	23822	2003	NA			76,6
2791675-2003	gnpis.lot:'RE02080'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FNM0dBTg==	RE02080	23822	2003	NA			
2791726-2003	gnpis.lot:'EM02203'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMw==	EM02203	EM02203	2003	NA		105,7	
2791726-2003	gnpis.lot:'EM02203'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMw==	EM02203	EM02203	2003	NA			101,4
2791726-2003	gnpis.lot:'EM02203'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjIwMw==	EM02203	EM02203	2003	NA	12,3		
2791670-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA		90	
2791670-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA			86,3
2791670-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA	14,3		
