observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	rdt
2	2791532-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA	12,21	
2	2791518-2003	gnpis.lot:'EM02158'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1OA==	EM02158	EM02158	2003	NA		69,81
2	2791518-2003	gnpis.lot:'EM02158'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1OA==	EM02158	EM02158	2003	NA	10,24	
2	2791632-2003	gnpis.lot:'RE02181'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE4MQ==	RE02181	RE02181	2003	NA		96,22
2	2791632-2003	gnpis.lot:'RE02181'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjE4MQ==	RE02181	RE02181	2003	NA	12,86	
1	2791589-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA		72,37
1	2791589-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA	9,94	
1	2791535-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA		90,52
1	2791535-2003	gnpis.lot:'CF02242'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI0Mg==	CF02242	CF02242	2003	NA	12,27	
2	2791564-2003	gnpis.lot:'DI03023'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMw==	DI03023	DI03023	2003	NA		90,67
2	2791564-2003	gnpis.lot:'DI03023'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMw==	DI03023	DI03023	2003	NA	12,82	
2	2791554-2003	gnpis.lot:'CF02279'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI3OQ==	CF02279	CF02279	2003	NA		71,87
2	2791554-2003	gnpis.lot:'CF02279'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMjI3OQ==	CF02279	CF02279	2003	NA	10,84	
2	2791590-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA		75,04
2	2791590-2003	gnpis.lot:'Charger'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBBTERRQQ==	CHARGER	13431	2003	NA	10,18	
