observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
1	2826308-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA		55,47	
1	2826308-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA			59,4
1	2826308-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA	3		
1	2826310-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA		94,35	
1	2826310-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA			72,1
1	2826310-2007	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2007	NA			
1	2826394-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA		91,49	
1	2826394-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA			77,3
1	2826394-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA			
1	2826234-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA		95,46	
1	2826234-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA			71,4
1	2826234-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA			
2	2826273-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA		52,48	
2	2826273-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA			63,2
2	2826273-2007	gnpis.lot:'CF06227'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BJUEJGVQ==	CF06227	33590	2007	NA	4,5		
2	2826391-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA		82,66	
2	2826391-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA			70,2
2	2826391-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA			
2	2826235-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA		96,44	
2	2826235-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA			71,6
